Date,Open,High,Low,Close,Adj Close,Volume,,Date,Open,High,Low,Close,Adj Close,Volume,,,NAS,KOS
9/18/2017,674.659973,677.140015,672.580017,675.869995,675.869995,585800,,9/18/2017,6460.100098,6477.77002,6438.410156,6454.640137,6454.640137,1874440000,,,,
9/19/2017,677.570007,677.969971,670.070007,674.47998,674.47998,659300,,9/19/2017,6465.569824,6467.790039,6446.75,6461.319824,6461.319824,1809710000,,,,
9/20/2017,676.599976,677.289978,668.049988,668.049988,668.049988,688100,,9/20/2017,6459.740234,6466.049805,6414.22998,6456.040039,6456.040039,2052520000,,,,
9/21/2017,671.320007,672.599976,658.640015,661.109985,661.109985,699800,,9/21/2017,6448.569824,6448.569824,6405.299805,6422.689941,6422.689941,1772790000,,,,
9/25/2017,649.109985,653.049988,638.919983,642.039978,642.039978,900600,x,9/25/2017,6403.109863,6408.049805,6343.959961,6370.589844,6370.589844,2050410000,,,,
9/26/2017,638.580017,645.72998,637.359985,642.400024,642.400024,820400,,9/26/2017,6391.850098,6405,6364.569824,6380.160156,6380.160156,1926420000,,,,
9/27/2017,645.02002,650.710022,644.559998,649.23999,649.23999,646000,,9/27/2017,6414.370117,6472.649902,6405.359863,6453.259766,6453.259766,2053720000,,,,
9/28/2017,651.919983,653.380005,648.090027,648.090027,648.090027,583400,,9/28/2017,6437.959961,6456.22998,6427.660156,6453.450195,6453.450195,1828570000,,,,
9/29/2017,650.320007,653.580017,648.679993,652.820007,652.820007,692300,,9/29/2017,6461.279785,6497.97998,6454.859863,6495.959961,6495.959961,1967720000,,,,
10/10/2017,658.76001,659.51001,653.909973,654.590027,654.590027,554200,x,10/10/2017,6602.490234,6608.299805,6561.779785,6587.25,6587.25,1799400000,,,,
10/11/2017,656.849976,662.309998,656.76001,662.309998,662.309998,558400,,10/11/2017,6586.72998,6604.209961,6577.990234,6603.549805,6603.549805,1830360000,,,,
10/12/2017,665.119995,666.73999,663.369995,666.539978,666.539978,561100,,10/12/2017,6594.759766,6613.5,6586.319824,6591.509766,6591.509766,2000470000,,,,
10/13/2017,669,672.780029,659.099976,663.080017,663.080017,616600,,10/13/2017,6613.209961,6616.580078,6602.200195,6605.799805,6605.799805,1756150000,,,,
10/16/2017,667.26001,668.5,652.169983,659.409973,659.409973,554300,,10/16/2017,6622.549805,6632.5,6607.029785,6624,6624,1629480000,,,,
10/17/2017,660.609985,671.950012,660.330017,670.51001,670.51001,700000,,10/17/2017,6621.419922,6628.600098,6613.209961,6623.660156,6623.660156,1647240000,,,,
10/18/2017,677.419983,679.5,667.309998,668.419983,668.419983,713700,,10/18/2017,6634.259766,6635.52002,6613.549805,6624.220215,6624.220215,1734030000,,,,
10/19/2017,671.219971,671.390015,664.190002,667.099976,667.099976,710600,,10/19/2017,6583.700195,6605.290039,6558.529785,6605.069824,6605.069824,1823860000,,,,
10/20/2017,669.059998,672.950012,667.169983,672.950012,672.950012,659100,,10/20/2017,6633.370117,6640.029785,6622.919922,6629.049805,6629.049805,1794810000,,,,
10/23/2017,674.97998,677.690002,674.640015,675.859985,675.859985,500000,,10/23/2017,6641.569824,6641.569824,6581.149902,6586.830078,6586.830078,1809320000,,,,
10/24/2017,678.549988,687.450012,678.340027,687.210022,687.210022,583200,,10/24/2017,6598.609863,6611.899902,6582.060059,6598.430176,6598.430176,1842640000,,,,
10/25/2017,688.830017,690.299988,684.840027,689.140015,689.140015,622300,,10/25/2017,6587.220215,6600.640137,6517.930176,6563.890137,6563.890137,2190720000,,,,
10/26/2017,689.940002,690.530029,680.609985,680.609985,680.609985,600300,,10/26/2017,6567.589844,6582.759766,6550.029785,6556.77002,6556.77002,2108210000,,,,
